author_type,floor,floors_count,rooms_count,total_meters,price,district,street,underground,coordinates_of_underground
realtor,5,26,1,41.7,18490000.0,Лефортово,Красноказарменная ,Авиамоторная,"(55.751933, 37.717444)"
developer,50,54,1,54.96,29227618.0,Хорошево-Мневники, Мневники,Полежаевская,"(55.777201, 37.517895)"
developer,13,23,1,42.9,20793875.0,Очаково-Матвеевское,Очаково мкр,Озёрная,"(55.6698, 37.4495)"
real_estate_agent,1,16,1,43.9,14500000.0,Ховрино, Лавочкина,Речной вокзал,"(55.008738, 82.93827)"
realtor,4,4,1,44.0,11950000.0,Соколиная гора,Щербаковская ,Измайлово,"(55.788611, 37.742778)"
developer,2,23,1,41.6,18824388.0,Очаково-Матвеевское,Очаково мкр,Озёрная,"(55.6698, 37.4495)"
real_estate_agent,6,14,1,40.0,21500000.0,Тверской,3-й Самотечный переулок,Достоевская,"(55.781667, 37.613889)"
developer,19,28,1,41.09,23384416.0,Нагатино-Садовники,Нагатинская ,Нагатинская,"(55.682099, 37.620917)"
real_estate_agent,5,9,1,33.1,10190000.0,Восточное Дегунино,Дубнинская ,Дегунино,"(55.865576, 37.573232)"
real_estate_agent,7,9,1,32.5,8600000.0,Орехово-Борисово Южное,Шипиловский проезд,Домодедовская,"(55.610131, 37.717111)"
developer,12,13,1,43.2,27293718.0,Даниловский,Подольское шоссе,Тульская,"(55.70961, 37.622569)"
realtor,7,17,1,37.5,10450000.0,Братеево, Борисовские Пруды,Борисово,"(55.6325, 37.743333)"
developer,27,28,1,46.7,23862066.0,Нагатино-Садовники,Нагатинская ,Нагатинская,"(55.682099, 37.620917)"
real_estate_agent,12,14,1,39.3,11900000.0,Перово,1-я Владимирская ,Перово,"(55.75098, 37.78422)"
developer,15,15,1,36.7,24802781.0,Останкинский,проспект Мира,Алексеевская,"(55.807794, 37.638699)"
real_estate_agent,6,14,1,40.0,21500000.0,Тверской,3-й Самотечный переулок,Достоевская,"(55.781667, 37.613889)"
developer,15,15,1,36.4,24504472.0,Останкинский,проспект Мира,Алексеевская,"(55.807794, 37.638699)"
developer,44,53,1,40.7,15791883.0,Покровское-Стрешнево,Северо-Западный ао,Трикотажная,"(55.833137, 37.398967)"
developer,39,53,1,39.8,16377350.0,Покровское-Стрешнево,Северо-Западный ао,Трикотажная,"(55.833137, 37.398967)"
real_estate_agent,11,13,1,49.0,22100000.0,Таганский, Большие Каменщики,Таганская,"(55.742396, 37.653334)"
developer,11,29,1,48.7,16260930.0,Черемушки, Наметкина,Новые Черёмушки,"(55.670077, 37.554493)"
real_estate_agent,6,15,1,33.0,17000000.0,Хорошевский,Ходынский бульвар,ЦСКА,"(55.786602, 37.533301)"
developer,2,29,1,47.1,14765850.0,Черемушки, Наметкина,Новые Черёмушки,"(55.670077, 37.554493)"
real_estate_agent,29,29,1,46.0,16500000.0,Нижегородский,Рязанский проспект,Нижегородская,"(55.731835, 37.729404)"
