author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Hutton Development,developer,https://www.cian.ru/sale/flat/299066760/,Москва,sale,flat,6,8,1,33.5,-1,0,23249000,Гагаринский,м. Ленинский проспект,,Ленинский проспект,Лунар ЖК
Место,real_estate_agent,https://www.cian.ru/sale/flat/301166903/,Москва,sale,flat,6,15,-1,29.1,-1,0,21700000,Беговой,Ленинградский проспект,35С2,Петровский Парк,Квартал апартаментов Искра-Парк
Forma,developer,https://www.cian.ru/sale/flat/300215440/,Москва,sale,flat,2,27,1,30.1,-1,0,16232418,Аэропорт,Часовая ,28к8,Сокол,SOUL
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/300838689/,Москва,sale,flat,1,3,-1,18.0,-1,0,4800000,Нагорный,Электролитный проезд,3С32,Нагорная,
Sminex,developer,https://www.cian.ru/sale/flat/301346146/,Москва,sale,flat,10,14,1,27.1,-1,0,18950000,Раменки,проспект Генерала Дорохова,39к2М,,Собрание клубных домов West Garden
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301152377/,Москва,sale,flat,32,33,1,23.7,-1,0,10150000,Гольяново,Амурская ,2к2,Черкизовская,Амурский парк
Группа Родина,developer,https://www.cian.ru/sale/flat/301313412/,Москва,sale,flat,7,23,1,30.1,-1,0,17417200,Ростокино,,к4,Ботанический сад,Союз ЖК
Комьюнити,real_estate_agent,https://www.cian.ru/sale/flat/297725510/,Москва,sale,flat,2,2,-1,21.3,-1,0,7500000,Преображенское,Суворовская ,19Ас1,Преображенская площадь,
MR Group,developer,https://www.cian.ru/sale/flat/301314800/,Москва,sale,flat,4,39,1,30.34,-1,0,12248285,Западное Дегунино,Северный ао,,Селигерская,Селигер Сити ЖК
Эксклюзив Хоум,real_estate_agent,https://www.cian.ru/sale/flat/300567733/,Москва,sale,flat,7,9,-1,33.0,-1,0,8900000,Южнопортовый,Волгоградский проспект,30С1,Волгоградский проспект,HighWay
ДомДау,developer,https://www.cian.ru/sale/flat/290636626/,Москва,sale,flat,34,85,1,45.56,-1,0,38473804,Пресненский,Московский международный деловой центр Москва-Сити тер.,,,Дом Дау
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299192929/,Москва,sale,flat,1,12,-1,14.2,-1,0,4400000,Отрадное, Декабристов,29,Отрадное,
MR Group,developer,https://www.cian.ru/sale/flat/300404561/,Москва,sale,flat,2,30,1,29.6,-1,0,12826420,Покровское-Стрешнево,,,Тушинская,Ситизен ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298264578/,Москва,sale,flat,1,4,1,28.8,-1,0,6900000,, Жемчужная,1к8,Филатов Луг,Марьино Град
ДомДау,developer,https://www.cian.ru/sale/flat/300199118/,Москва,sale,flat,5,85,1,46.54,-1,0,37003349,Пресненский,Московский международный деловой центр Москва-Сити тер.,,,Дом Дау
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300476959/,Москва,sale,flat,12,22,1,22.0,-1,0,12300000,Западное Дегунино,Дегунинская ,9к1,Моссельмаш,Любовь и Голуби
КОРТРОС,developer,https://www.cian.ru/sale/flat/300396957/,Москва,sale,flat,37,49,1,29.38,-1,0,14748760,Марьина роща,,,Марьина Роща,Тэйт ЖК
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/300113349/,Москва,sale,flat,4,15,1,28.1,-1,0,6969000,,,5/1,Ольховая,"Новые Ватутинки, мкр. Заречный"
MR Group,developer,https://www.cian.ru/sale/flat/301314821/,Москва,sale,flat,18,39,1,31.63,-1,0,13076216,Западное Дегунино,Северный ао,,Селигерская,Селигер Сити ЖК
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300529013/,Москва,sale,flat,1,3,-1,27.1,-1,0,8999999,Нагорный,Электролитный проезд,3С32,Нагорная,
FORMA,developer,https://www.cian.ru/sale/flat/301207754/,Москва,sale,flat,6,26,-1,26.86,-1,0,26731072,Пресненский,к2.2,к2.2,Белорусская,Репаблик ЖК
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/301385268/,Москва,sale,flat,9,14,1,21.1,-1,0,6500000,,,,Прокшино,"Новые Ватутинки, мкр. Центральный"
ASTERUS,representative_developer,https://www.cian.ru/sale/flat/301368057/,Москва,sale,flat,6,22,1,25.5,-1,0,14902089,Покровское-Стрешнево,,,Тушинская,Алиа ЖК
СМАРЕНТ,real_estate_agent,https://www.cian.ru/sale/flat/301346853/,Москва,sale,flat,4,30,1,27.9,-1,0,12600000,Щукино,проезд 4-й Красногорский,3,Стрешнево,Moments
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/298239512/,Москва,sale,flat,24,27,1,27.4,-1,0,16878400,Басманный, Фридриха Энгельса,56,Бауманская,Дом 56
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/301309198/,Москва,sale,flat,22,30,-1,22.9,-1,0,9700000,Южнопортовый,Волгоградский проспект,32/5к2,Угрешская,Метрополия
Forma,developer,https://www.cian.ru/sale/flat/300160044/,Москва,sale,flat,1,20,1,32.38,-1,0,16871275,Даниловский,Автозаводская ,26,Тульская,FORST
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301430067/,Москва,sale,flat,8,16,-1,22.1,-1,0,6690000,Нижегородский,,,Калитники,Н'айс Лофт ЖК
