author_type,floor,floors_count,rooms_count,total_meters,price,district,street,underground,lons,lats
Застройщик,39,53,1,39.8,16.38,Покровское-Стрешнево,Северо-Западный ао,Трикотажная,37.398967,55.833137
Агент по недвижимости,11,13,1,49.0,22.1,Таганский, Большие Каменщики,Таганская,37.653334,55.742396
Застройщик,11,29,1,48.7,16.26,Черемушки, Наметкина,Новые Черёмушки,37.554493,55.670077
Агент по недвижимости,6,15,1,33.0,17.0,Хорошевский,Ходынский бульвар,ЦСКА,37.533301,55.786602
Застройщик,2,29,1,47.1,14.77,Черемушки, Наметкина,Новые Черёмушки,37.554493,55.670077
Агент по недвижимости,29,29,1,46.0,16.5,Нижегородский,Рязанский проспект,Нижегородская,37.729404,55.731835
Застройщик,4,36,1,44.5,12.46,Ярославский,проспект Мира,Ростокино,37.667778,55.839444
Агент по недвижимости,2,14,1,43.7,19.99,Лефортово,проезд Шелихова,Площадь Ильича,37.680726,55.747115
Агент по недвижимости,7,30,1,36.6,21.8,Хорошево-Мневники,Шелепихинская набережная,Хорошёвская,37.520797,55.776862
Агент по недвижимости,9,16,1,36.4,10.5,Южное Бутово,к2.1,Бунинская аллея,37.515899,55.537977
Агент по недвижимости,9,26,1,48.8,29.9,Черемушки,Херсонская ,Зюзино,37.57369,55.655717
Агент по недвижимости,19,22,1,43.0,19.5,Щукино,Большой Волоколамский проезд,Стрешнево,37.476699,55.814204
Агент по недвижимости,11,34,1,46.4,19.99,Обручевский, Архитектора Власова,Воронцовская,37.539446,55.658845
Застройщик,6,15,1,47.17,19.85,Даниловский,Автозаводская ,Тульская,37.622569,55.70961
Агент по недвижимости,18,22,1,43.0,20.7,Щукино,Большой Волоколамский проезд,Стрешнево,37.476699,55.814204
Застройщик,11,19,1,43.9,21.48,Савеловский,Старый Петровско-Разумовский проезд,Гражданская,37.553316,55.805483
Агент по недвижимости,18,22,1,43.0,19.5,Щукино,Большой Волоколамский проезд,Стрешнево,37.476699,55.814204
Застройщик,6,17,1,42.5,20.4,Савеловский,Старый Петровско-Разумовский проезд,Гражданская,37.553316,55.805483
Агент по недвижимости,15,22,1,41.0,9.9,Ново-Переделкино,Новопеределкинская ,Новопеределкино,37.3544,55.6385
Застройщик,12,15,1,49.3,17.75,Головинский,Михалковская ,Коптево,37.520037,55.839637
Агент по недвижимости,7,40,1,43.4,22.88,Даниловский,бульвар Братьев Весниных,ЗИЛ,37.648333,55.698333
Застройщик,2,16,1,45.85,20.71,Даниловский,Автозаводская ,Тульская,37.622569,55.70961
Агент по недвижимости,7,12,1,34.5,12.5,Щукино, Народного Ополчения,Октябрьское поле,37.493317,55.793581
Агент по недвижимости,6,25,1,39.0,18.7,Обручевский, Академика Челомея,Воронцовская,37.539446,55.658845
Риэлтор,7,19,1,40.0,18.4,Покровское-Стрешнево,Волоколамское шоссе,Трикотажная,37.398967,55.833137
Агент по недвижимости,5,27,1,36.2,16.8,Очаково-Матвеевское,Аминьевское шоссе,Аминьевская,37.464931,55.697189
Агент по недвижимости,37,62,1,37.6,18.5,Хорошево-Мневники, Народного Ополчения,Народное Ополчение,37.485071,55.775697
Застройщик,16,29,1,45.6,18.73,Южнопортовый,Волгоградский проспект,Дубровка,37.676259,55.71807
Риэлтор,11,23,1,38.0,14.3,Западное Дегунино,Дегунинская ,Моссельмаш,37.526389,55.862222
Агент по недвижимости,8,9,1,29.8,11.9,Перово,2-я Владимирская ,Перово,37.78422,55.75098
Застройщик,21,21,1,56.5,30.9,Хорошевский, Зорге,Зорге,37.504444,55.787778
Агент по недвижимости,18,32,1,51.0,26.0,Хорошевский,Хорошевское шоссе,Беговая,37.545518,55.773505
Агент по недвижимости,11,12,1,61.3,38.0,Тверской,2-я Брестская ,Маяковская,37.596192,55.769808
Застройщик,8,23,1,47.4,20.76,Басманный, Фридриха Энгельса,Бауманская,37.67904,55.772405
Застройщик,13,28,1,43.63,24.59,Марфино, Академика Королева,Телецентр,37.608975,55.821795
Агент по недвижимости,9,27,1,44.0,24.0,Хорошевский, Зорге,Полежаевская,37.517895,55.777201
Агент по недвижимости,3,15,1,31.1,12.63,Хорошевский,Ходынский бульвар,ЦСКА,37.533301,55.786602
Агент по недвижимости,2,14,1,34.9,10.9,Можайский, Кутузова,Рабочий посёлок,37.417877,55.726918
Застройщик,20,26,1,35.93,20.76,Марфино, Академика Королева,Телецентр,37.608975,55.821795
Агент по недвижимости,33,36,1,40.1,19.0,Пресненский,Мукомольный проезд,Шелепиха,37.524067,55.757116
Застройщик,2,14,1,39.1,11.89,Рязанский,Рязанский проспект,Окская,37.781272,55.718623
